param_type,width_multiplier,rng_seed,post_encoder,ssm_state_0,ssm_output_0,ssm_post_gelu_0,ssm_post_glu_0,ssm_state_1,ssm_output_1,ssm_post_gelu_1,ssm_post_glu_1,output
muP_3,256,2,0.27376887,0.016717765,0.29458606,0.16561262,0.16786483,0.007742072,0.22545013,0.1204595,0.111081004,0.28984076
muP_3,256,3,0.2801013,0.021983184,0.38232946,0.21502762,0.19223934,0.00971142,0.23669605,0.12478788,0.11252855,0.29446384
muP_3,256,4,0.2767174,0.017450778,0.31492957,0.1770338,0.17339423,0.008203643,0.18407504,0.09610658,0.09576576,0.25945184
muP_3,256,5,0.2787285,0.014958627,0.27435127,0.15541714,0.16605486,0.0064894794,0.17437012,0.091566846,0.09316057,0.25443622
muP_3,256,6,0.27848408,0.01669339,0.33905494,0.19659252,0.18787152,0.0095439665,0.22051647,0.12045228,0.114507176,0.30236992
muP_3,256,7,0.27924746,0.019663377,0.32562846,0.18619056,0.17914625,0.008561168,0.19701105,0.106198005,0.10326217,0.2784526
muP_3,256,8,0.28238085,0.020614004,0.44362968,0.24759287,0.20929387,0.011297725,0.26169062,0.13972116,0.12299787,0.31346586
muP_3,256,9,0.27055514,0.015436049,0.2813816,0.15825428,0.16328712,0.008358932,0.18759672,0.09893938,0.09738146,0.26102614
standard,2,0,0.16806735,0.24470639,0.69722205,0.30899462,0.20733707,0.06195215,0.30236527,0.1746601,0.11697827,0.34925285
standard,2,1,0.23173428,0.120982185,0.4079988,0.23360944,0.269261,0.12962396,0.49174955,0.26586056,0.17955473,0.45592514
standard,2,2,0.23660423,0.1994489,0.6625556,0.4246092,0.30624294,0.13250582,0.5462904,0.26440683,0.1590394,0.52004296
standard,2,3,0.2510131,0.2031443,0.6808862,0.31939003,0.28279936,0.1097841,0.48917273,0.21456048,0.14431313,0.40853727
standard,2,4,0.21939251,0.17925872,0.5557172,0.3535153,0.3238182,0.11713999,0.5269991,0.27668518,0.19731341,0.5851334
standard,2,5,0.21728252,0.15299158,0.46652237,0.27103516,0.21209778,0.15595795,0.563939,0.2788604,0.1843779,0.47736672
